question,option_a,option_b,option_c,option_d,correct_answer,category,difficulty,source
The NCDC (Nigeria Centre for Disease Control) gained prominence during which health crisis?,COVID-19 pandemic,Ebola outbreak,Lassa fever,Cholera outbreak,A,current_affairs,easy,General Knowledge
The Yoruba word 'Eko' refers to which city?,Lagos,Ibadan,Abeokuta,Ile-Ife,A,culture,easy,General Knowledge
The Hausa word 'Kano' means what in the local language?,Associated with the Kano kingdom founder,High place,River crossing,Market city,A,history,hard,General Knowledge
The Igbo cosmological supreme deity is called what?,Chukwu,Sango,Ogun,Amadioha,A,culture,medium,General Knowledge
The Yoruba deity of iron and war is called what?,Ogun,Sango,Obatala,Oshun,A,culture,medium,General Knowledge
The Yoruba deity of thunder is called what?,Sango,Ogun,Esu,Yemoja,A,culture,easy,General Knowledge
Nigeria's motto is what?,"Unity and Faith, Peace and Progress","One Nation, One Destiny",Together We Stand,"Forward Ever, Backward Never",A,government,easy,General Knowledge
Which color is NOT on the Nigerian flag?,Red,Green,White,Green,A,government,easy,General Knowledge
The green on Nigeria's flag symbolises what?,Agriculture/natural wealth,Peace,The Muslim north,The forest,A,government,medium,General Knowledge
The white on Nigeria's flag symbolises what?,Peace and unity,Agriculture,Purity,The sky,A,government,medium,General Knowledge
Nigeria's national animal is what?,Eagle,Lion,Elephant,Horse,A,culture,easy,General Knowledge
The Nigerian eagle on the coat of arms represents what?,Strength of the nation,The Air Force,Freedom,Northern Nigeria,A,government,medium,General Knowledge
Abuja was chosen as Nigeria's new capital primarily for what reason?,Central location and neutrality,Better climate,Larger size,Historical importance,A,history,medium,General Knowledge
Lagos was Nigeria's capital from independence until which year?,1991,1985,1976,2000,A,history,medium,General Knowledge
The Yoruba city of Oyo was once the centre of which historic empire?,Oyo Empire,Benin Empire,Ife Kingdom,Ijebu Kingdom,A,history,hard,General Knowledge
The Oyo Empire at its height in the 18th century controlled territory as far west as modern-day which country?,Benin Republic and Togo,Ghana,Ivory Coast,Senegal,A,history,hard,General Knowledge
"The Kanem-Bornu Empire, centred near Lake Chad, lasted from approximately which periods?",700 to 1900 AD,200 to 600 AD,1000 to 1400 AD,1200 to 1800 AD,A,history,hard,General Knowledge
Which Nigerian ethnic group is most associated with the Benin Kingdom?,Edo (Bini),Yoruba,Igbo,Ijaw,A,history,easy,General Knowledge
The Oba of Benin holds which type of traditional leadership?,Hereditary monarchy,Elected chieftaincy,Rotating leadership,Military leadership,A,culture,medium,General Knowledge
The first Oba of Benin Kingdom in the Oduduwa dynasty was who?,Oranmiyan,Eweka I,Ewuare,Esigie,A,history,hard,General Knowledge
Tiv people are the major ethnic group in which Nigerian state?,Benue,Plateau,Taraba,Nasarawa,A,culture,medium,General Knowledge
Ijaw people are predominantly found in which Nigerian region?,Niger Delta,Southeast highlands,Northwest savannah,Northeast,A,culture,easy,General Knowledge
Bayelsa State was created from which state in 1996?,Rivers State,Delta State,Akwa Ibom,Cross River,A,government,medium,General Knowledge
Ekiti State was created from which state?,Ondo State,Oyo State,Kwara State,Ogun State,A,government,medium,General Knowledge
Ebonyi State was created in 1996 from parts of which states?,Enugu and Abia,Anambra and Enugu,Imo and Abia,Cross River and Enugu,A,government,medium,General Knowledge
Zamfara State was created from which state in 1996?,Sokoto State,Kebbi State,Niger State,Kaduna State,A,government,medium,General Knowledge
Nasarawa State was carved out of which state?,Plateau State,Kaduna State,Kogi State,Benue State,A,government,medium,General Knowledge
The first Nigerian to be called to the English Bar was who?,Christopher Alexander Sapara Williams,Nnamdi Azikiwe,Herbert Macaulay,Obafemi Awolowo,A,history,hard,General Knowledge
The FESTAC (Second World Black and African Festival of Arts and Culture) was held in Nigeria in which year?,1977,1975,1980,1970,A,culture,hard,General Knowledge
FESTAC 77 was held in which Nigerian city?,Lagos,Abuja,Kano,Ibadan,A,culture,hard,General Knowledge
The National Arts Theatre in Lagos was built for which event?,FESTAC 77,Nigeria's Independence,Commonwealth Games,African Cup of Nations,A,culture,hard,General Knowledge
The Ikoyi Prison in Lagos was renamed to what in 2020?,Ikoyi Custodial Centre,Ikoyi Correctional Centre,Lagos Prison Complex,Ikoyi Rehabilitation Centre,A,government,hard,General Knowledge
Nigeria's Environmental Impact Assessment Act was enacted in which year?,1992,1988,1995,2001,A,government,hard,General Knowledge
The River Niger enters Nigeria from which country?,Niger Republic,Mali,Guinea,Burkina Faso,A,history,medium,General Knowledge
"After flowing through Nigeria, the River Niger empties into which body of water?",Atlantic Ocean (Gulf of Guinea),Indian Ocean,Mediterranean Sea,Gulf of Benin only,A,history,easy,General Knowledge
The Calabar-Mamfe Road connects Nigeria to which country?,Cameroon,Equatorial Guinea,Central African Republic,Gabon,A,history,medium,General Knowledge
Nigeria's first female Chief Justice was who?,Aloma Mukhtar,Mary Odili,Ifeoma Jombo-Ofo,Rose Ukeje,A,government,hard,General Knowledge
Aloma Mukhtar served as Chief Justice of Nigeria from which year?,2012,2010,2014,2008,A,government,hard,General Knowledge
"The Enugu coal mines, historically important, are located in which area?",Udi,Nsukka,Onitsha,Oguta,A,history,hard,General Knowledge
Coal mining in Enugu began approximately in which year?,1915,1900,1920,1930,A,history,hard,General Knowledge
"The phrase 'No victor, no vanquished' at the end of the Nigerian Civil War was spoken by which leader?",Yakubu Gowon,Olusegun Obasanjo,Murtala Mohammed,Philip Effiong,A,history,medium,General Knowledge
The Organisation of Islamic Cooperation (OIC) controversy in Nigeria occurred under which military ruler?,Ibrahim Babangida,Sani Abacha,Muhammadu Buhari,Yakubu Gowon,A,politics,hard,General Knowledge
IBB (Ibrahim Babangida) stepped aside from power in Nigeria in which year?,1993,1990,1995,1991,A,history,medium,General Knowledge
Ernest Shonekan led the Interim National Government of Nigeria for approximately how long?,3 months,6 months,1 year,2 months,A,history,medium,General Knowledge
Sani Abacha became head of state of Nigeria after removing which government?,Shonekan's Interim National Government,Babangida's military government,Elected Abiola government,Obasanjo's government,A,history,medium,General Knowledge
The 'June 12' date in Nigeria was eventually declared a public holiday honouring what?,Democracy Day,Abiola's birthday,The annulled election,Civil rights,A,politics,medium,General Knowledge
MKO Abiola died in detention in which year?,1998,1997,1999,2000,A,history,medium,General Knowledge
Wole Soyinka was arrested and imprisoned by which Nigerian military regime?,Gowon's regime during civil war,Abacha's regime,Babangida's regime,Buhari's first regime,A,history,hard,General Knowledge
The Chieftaincy title 'Ooni' is associated with the traditional ruler of which city?,Ile-Ife,Ibadan,Oyo,Abeokuta,A,culture,medium,General Knowledge
The traditional ruler of Kano is known by what title?,Emir,Oba,Obi,Sultan,A,culture,easy,General Knowledge
The Sultan of Sokoto is considered the spiritual leader of Muslims in Nigeria. The current sultanate was founded in which year?,1804,1800,1820,1780,A,history,medium,General Knowledge
"Femi Kuti, son of Fela Kuti, is known for which type of music?",Afrobeat,Afrobeats,Juju,Fuji,A,culture,medium,General Knowledge
"Made Kuti, Fela Kuti's grandson, continues what tradition?",Afrobeat music,Juju music,Fuji music,Gospel music,A,culture,medium,General Knowledge
The New Afrika Shrine in Lagos is associated with which musical family?,Kuti family (Fela Kuti's legacy),Lagbaja,Sunny Ade,Ebenezer Obey,A,culture,medium,General Knowledge
Davido's real name is what?,David Adedeji Adeleke,Adewale Mayowa David,David Chukwuemeka Obi,David Adeleke Fashola,A,culture,easy,General Knowledge
"Davido's father, Dr Deji Adeleke, is a prominent what?",Businessman,Politician,University professor,Military officer,A,current_affairs,medium,General Knowledge
Tiwa Savage is from which Nigerian state?,Lagos,Ogun,Ondo,Osun,A,culture,medium,General Knowledge
"Asa, the French-Nigerian singer, was born and raised in which Nigerian city?",Lagos,Abuja,Ibadan,Abeokuta,A,culture,hard,General Knowledge
Innocent '2face' Idibia is from which Nigerian state?,Benue,Plateau,Kaduna,Taraba,A,culture,medium,General Knowledge
The currency note featuring Murtala Mohammed in Nigeria is which denomination?,N20,N100,N50,N200,A,current_affairs,medium,General Knowledge
The N1000 note features the portraits of which founding fathers?,Alvan Ikoku and Clement Isong,Azikiwe and Balewa,Awolowo and Azikiwe,Gowon and Obasanjo,A,current_affairs,hard,General Knowledge
The N200 note in Nigeria features which prominent Nigerian?,Alhaji Aliyu Mai-Bornu and Clement Isong,Zik and Awo,Gowon and Obasanjo,Sardauna and Balewa,A,current_affairs,hard,General Knowledge
E-payment in Nigeria was greatly boosted by the introduction of which bank verification number system?,BVN (Bank Verification Number),NIN (National Identification Number),PIN system,USSD system,A,current_affairs,medium,General Knowledge
The BVN (Bank Verification Number) system in Nigeria was introduced in which year?,2014,2012,2016,2010,A,current_affairs,medium,General Knowledge
Nigeria's eNaira was launched under which Central Bank Governor?,Godwin Emefiele,Charles Soludo,Lamido Sanusi,Joseph Sanusi,A,current_affairs,hard,General Knowledge
Olayemi Cardoso became Central Bank Governor of Nigeria in which year?,2023,2022,2021,2024,A,current_affairs,hard,General Knowledge
The Nigerian Communications Commission introduced the NIN-SIM linkage requirement in which year?,2020,2018,2022,2019,A,current_affairs,medium,General Knowledge
Airtel Nigeria was formerly known as what?,Zain (and before that Celtel),MTN Nigeria,Visafone,Glo Mobile,A,current_affairs,hard,General Knowledge
Globacom (Glo) was founded by which Nigerian billionaire?,Mike Adenuga,Aliko Dangote,Jim Ovia,Tony Elumelu,A,current_affairs,easy,General Knowledge
MTN stands for what?,Mobile Telephone Networks,Mobile Technology Nigeria,Modern Telecom Nigeria,Metro Telephone Networks,A,current_affairs,easy,General Knowledge
The Nigerian Breweries company produces which popular beer brand?,Star and Gulder,Malta Guinness,Trophy,33 Export,A,current_affairs,easy,General Knowledge
"Indomie noodles, very popular in Nigeria, are produced by a company of which nationality?",Indonesian,Chinese,Indian,Nigerian,A,current_affairs,medium,General Knowledge
The 'Eba' food in Nigeria is made from what?,Garri (cassava flour),Yam flour,Corn flour,Rice flour,A,culture,easy,General Knowledge
'Àmàlà' is a Nigerian swallow food made from what?,Yam flour (Elubo),Cassava flour,Corn flour,Plantain flour,A,culture,medium,General Knowledge
Tuwo Shinkafa is a northern Nigerian staple made from what?,Rice,Corn,Millet,Sorghum,A,culture,medium,General Knowledge
Kilishi is a Nigerian food product that is what?,Dried spiced meat (beef jerky),Dried fish,Smoked chicken,Dried vegetables,A,culture,easy,General Knowledge
The Itsekiri people are found in which Nigerian state?,Delta,Rivers,Edo,Bayelsa,A,culture,hard,General Knowledge
The Urhobo people are predominantly from which state?,Delta,Rivers,Edo,Bayelsa,A,culture,medium,General Knowledge
The Ogoni people's homeland OGONILAND is located in which state?,Rivers,Bayelsa,Delta,Cross River,A,culture,medium,General Knowledge
The Nupe people are predominantly found in which state?,Niger State,Kogi State,Kwara State,Benue State,A,culture,medium,General Knowledge
The TIV Festival in Nigeria is celebrated by people from which state?,Benue,Plateau,Taraba,Nasarawa,A,culture,medium,General Knowledge
"The Sharo Festival, a coming-of-age celebration, is associated with which Nigerian group?",Fulani,Hausa,Kanuri,Tiv,A,culture,hard,General Knowledge
The New Yam Festival (Iwa Ji) is an important celebration for which Nigerian people?,Igbo,Yoruba,Efik,Ibibio,A,culture,easy,General Knowledge
Nigeria's film industry Nollywood earned approximately how much in revenue in 2022?,$1.2 billion,$500 million,$3 billion,$300 million,A,current_affairs,hard,General Knowledge
Genevieve Nnaji is a prominent actress and filmmaker from which Nigerian state?,Imo,Anambra,Rivers,Enugu,A,culture,medium,General Knowledge
"Omotola Jalade-Ekeinde, the Nollywood actress, was named by Time magazine as one of the 100 most influential people in which year?",2013,2010,2015,2011,A,culture,hard,General Knowledge
Rita Dominic is a prominent Nollywood actress from which state?,Imo,Rivers,Delta,Cross River,A,culture,medium,General Knowledge
The Nigerian film 'The Wedding Party' was directed by who?,Kemi Adetiba,Kunle Afolayan,Biyi Bandele,Tunde Kelani,A,culture,hard,General Knowledge
Kunle Afolayan is a prominent Nigerian filmmaker. His father was which famous actor?,Adeyemi Afolayan (Ade Love),Jide Kosoko,Lere Paimo,Baba Sala,A,culture,hard,General Knowledge
